Dates;OH CN Equity;IAN CN Equity;CNTTF US Equity;N CN Equity;HIP CN Equity;TLRY Corp;HUGE CN Equity;CRON US Equity;APH CN Equity;WEED CN Equity;ACB CN Equity;GWPRF US Equity;SHOP US Equity;SPVNF US Equity;MN CN Equity;LEAF CN Equity;PAOTF US Equity;LULU US Equity;CBIS US Equity;HMMJ CN Equity;GRNH US Equity;MF6 GY Equity;HELIO SS Equity;BYDDF US Equity;GELYF US Equity;BABA UN Equity;TCTZF US Equity;APH US Equity;JD US Equity;9984 JT Equity;ATVI US Equity;EA US Equity;BJK US Equity;APTV US Equity;TEL US Equity;Global X-Nasda;BWA US Equity
25.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.01.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.02.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.03.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.04.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.05.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.06.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.07.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.08.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.10.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.01.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.02.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.03.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.03.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.03.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.03.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.03.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.03.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
